,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
388,389,NVR,8970.1,18.6,1236.7,37.2,5834.5,15010.5,-6,6600,1,1
389,390,Foot Locker,8958.0,18.7,893.0,176.5,8135.0,2850.0,-5,33244,1,1
391,392,SpartanNash,8931.0,-4.5,73.8,-2.8,2206.8,1185.1,-63,13300,1,1
395,396,Activision Blizzard,8803.0,8.9,2699.0,22.8,25056.0,62559.7,-23,9800,1,1
396,397,Toll Brothers,8790.4,24.2,833.6,86.7,11537.9,5515.4,14,5100,1,0
397,398,Carlyle Group,8782.1,199.3,2974.7,754.3,21250.4,17427.5,360,1850,1,0
400,401,UFP Industries,8636.1,67.6,535.6,117.1,3245.3,4790.5,117,15000,1,0
401,402,Ulta Beauty,8630.9,40.3,985.8,460.7,4764.4,20837.8,49,28500,1,0
405,406,Celanese,8537.0,51.0,1890.0,-4.8,11975.0,15434.1,71,8529,1,0
406,407,Global Payments,8523.8,14.8,965.5,65.2,45279.7,38545.6,-13,25000,1,1
408,409,Campbell Soup,8476.0,-6.3,1002.0,-38.5,11734.0,13446.9,-74,14100,1,1
409,410,Huntsman,8453.0,40.3,1045.0,1.1,9392.0,8046.9,50,9000,1,0
410,411,Franklin Resources,8425.5,51.4,1831.2,129.2,24168.4,14019.3,73,10300,1,0
411,412,Avery Dennison,8408.3,20.6,740.1,33.1,7971.6,14327.4,5,36000,1,0
412,413,Masco,8375.0,14.9,410.0,-66.5,5575.0,12062.7,-15,20000,1,1
414,415,Fifth Third Bancorp,8329.0,-0.9,2770.0,94.1,211116.0,29511.3,-57,19112,1,1
415,416,WEC Energy Group,8316.0,14.8,1300.3,8.4,38988.5,31483.5,-16,6938,1,1
416,417,S&P Global,8297.0,11.5,3024.0,29.3,15026.0,142343.5,-24,22850,1,1
418,419,Polaris,8252.0,16.1,493.9,295.8,5047.8,6264.1,-12,16000,1,1
419,420,Williams-Sonoma,8245.9,21.6,1126.3,65.5,4625.6,10376.0,5,16600,1,0
420,421,Autoliv,8230.0,10.5,435.0,132.7,7537.0,6691.1,-29,58176,1,1
421,422,Arthur J. Gallagher,8209.4,17.2,906.8,10.7,33345.0,36598.6,-6,39000,1,1
422,423,Motorola Solutions,8171.0,10.2,1245.0,31.2,12189.0,40555.9,-28,18700,1,1
425,426,J.M. Smucker,8002.7,2.6,876.3,12.4,16284.2,14686.4,-48,7100,1,1
427,428,Oshkosh,7952.5,16.0,409.4,26.2,6721.8,6703.7,-6,15000,1,1
428,429,MasTec,7951.8,25.8,328.8,1.9,7121.4,6657.0,12,27000,1,0
431,432,Boise Cascade,7926.1,44.8,712.5,307.2,2572.6,2740.4,61,6130,1,0
432,433,Dover,7907.1,18.3,1123.8,64.4,10403.6,22610.3,-4,25000,1,1
433,434,Genworth Financial,7882.0,-9.0,904.0,407.9,99171.0,1917.9,-86,2500,1,1
434,435,Bath & Body Works,7881.5,-33.5,1333.5,57.9,6026.0,11419.9,-178,32850,1,1
435,436,Booz Allen Hamilton Holding,7858.9,5.3,609.0,26.2,5499.6,11705.4,-45,27700,1,1
436,437,Coinbase Global,7839.4,513.7,3624.1,1024.4,21274.4,41670.4,-,3730,1,1
438,439,Westinghouse Air Brake Technologies,7822.0,3.5,558.0,34.7,18454.0,17819.4,-55,25000,1,1
439,440,Zoetis,7776.0,16.5,2037.0,24.4,13900.0,89008.9,-9,12100,1,1
440,441,Packaging Corp. of America,7730.3,16.1,841.1,82.5,7836.8,14628.1,-8,15200,1,1
441,442,LPL Financial Holdings,7720.8,31.5,459.9,-2.7,7991.6,14608.8,24,5919,1,0
442,443,T. Rowe Price,7671.9,23.6,3082.9,29.9,12509.0,34442.6,4,7529,1,0
443,444,Fortune Brands Home & Security,7656.1,25.7,772.4,39.6,7936.2,9830.7,12,28056,1,0
444,445,Casey's General Stores,7654.2,-5.6,312.9,18.6,4460.3,7354.4,-74,27583,1,1
445,446,A-Mark Precious Metals,7613.0,39.4,159.6,423.2,1191.6,890.5,49,347,1,0
447,448,Vertex Pharmaceuticals,7574.4,22.1,2342.1,-13.6,13432.5,66436.9,-,3900,1,1
448,449,KeyCorp,7561.0,3.1,2625.0,95.5,186346.0,20592.5,-53,16974,1,1
449,450,Chipotle Mexican Grill,7547.1,26.1,653.0,83.5,6653.0,44347.4,14,97660,1,0
450,451,CMS Energy,7538.0,12.8,1353.0,79.2,28753.0,20292.2,-21,8813,1,1
452,453,Taylor Morrison Home,7501.3,22.4,663.0,172.4,8727.8,3301.6,-1,3000,1,1
453,454,American Financial Group,7462.0,-5.7,1995.0,172.5,28931.0,12367.8,-78,6600,1,1
454,455,UGI,7447.0,13.5,1467.0,175.8,16723.0,7599.1,-19,11300,1,1
455,456,Science Applications International,7394.0,4.8,277.0,32.5,5746.0,5166.1,-44,25090,1,1
456,457,Avantor,7386.1,15.5,572.6,391.1,13897.2,20629.1,-19,13500,1,1
458,459,Clorox,7341.0,9.2,710.0,-24.4,6334.0,17108.7,-32,9000,1,1
462,463,Analog Devices,7318.3,30.6,1390.4,13.9,52322.1,86441.2,18,24700,1,0
465,466,Graphic Packaging Holding,7156.0,9.1,204.0,21.9,10457.0,6154.4,-31,25000,1,1
468,469,PPL,7127.0,-6.3,-1480.0,-200.7,33223.0,21001.9,-87,5607,0,1
469,470,Cintas,7116.3,0.4,1111.0,26.8,8236.8,43566.7,-60,40000,1,1
470,471,Xerox Holdings,7038.0,0.2,-455.0,-337.0,13223.0,3123.3,-56,23300,0,1
471,472,Rockwell Automation,6997.4,10.5,1358.1,32.7,10701.6,32538.4,-32,24500,1,1
472,473,Citizens Financial Group,6986.0,-9.0,2319.0,119.4,188409.0,19135.7,-92,17463,1,1
473,474,KLA,6918.7,19.2,2078.3,70.8,10271.1,55170.9,-6,11425,1,1
474,475,Camping World Holdings,6913.8,26.9,278.5,127.6,4372.9,2664.6,21,12834,1,0
475,476,Ingredion,6894.0,15.1,117.0,-66.4,6999.0,5814.2,-13,12000,1,1
476,477,Veritiv,6850.5,8.0,144.6,322.8,2438.4,2008.0,-38,6100,1,1
480,481,Academy Sports and Outdoors,6773.1,19.1,671.4,117.4,4584.9,3433.5,-6,16508,1,1
481,482,Sanmina,6756.6,-2.9,269.0,92.5,4206.7,2569.0,-64,33500,1,1
482,483,ON Semiconductor,6739.8,28.3,1009.6,331.1,9626.0,27078.7,26,31650,1,0
483,484,Commercial Metals,6729.8,22.9,412.9,47.7,4638.7,5056.7,8,11089,1,0
486,487,Equinix,6635.5,10.6,500.2,35.3,27918.7,67280.5,-26,10944,1,1
488,489,Regions Financial,6605.0,-0.8,2521.0,130.4,162938.0,20860.9,-55,19626,1,1
489,490,Yum Brands,6584.0,16.5,1575.0,74.2,5966.0,34252.9,-12,25650,1,1
490,491,Landstar System,6540.4,58.1,381.5,98.6,2045.5,5600.0,115,1399,1,0
491,492,CF Industries Holdings,6538.3,58.5,917.1,189.3,12375.2,21551.3,117,3003,1,0
492,493,Northern Trust,6488.3,3.0,1545.3,27.8,183889.8,24215.1,-50,21100,1,1
493,494,Robert Half International,6461.4,26.5,598.6,95.5,2952.4,12638.1,25,14600,1,0
495,496,Hasbro,6420.4,17.5,428.7,92.7,10037.8,11383.6,-2,6640,1,1
496,497,Roper Technologies,6415.8,16.1,1152.6,21.4,23713.9,49868.8,-9,19300,1,1
497,498,ARKO,6412.6,88.1,59.2,348.9,2942.3,1133.9,183,11236,1,0
499,500,Ameren,6394.0,10.4,990.0,13.7,35735.0,24198.7,-31,9116,1,1
500,501,O-I Glass,6357.0,4.4,149.0,-40.2,8832.0,2058.0,-46,24000,1,1
501,502,Chemours,6345.0,27.7,608.0,177.6,7550.0,5015.0,25,6400,1,0
502,503,Crown Castle International,6340.0,8.6,1096.0,3.8,39040.0,79937.3,-36,5000,1,1
503,504,Agilent Technologies,6319.0,18.4,1210.0,68.3,10705.0,39714.0,-2,17000,1,1
504,505,McCormick,6317.9,12.8,755.3,1.1,12905.8,26754.0,-23,14000,1,1
505,506,Skechers U.S.A.,6310.2,36.8,741.5,652.3,6491.3,6360.4,52,8950,1,0
506,507,Watsco,6280.2,24.2,418.9,55.4,3085.9,11842.6,17,6875,1,0
508,509,Lululemon athletica,6256.6,42.1,975.3,65.6,4942.5,46717.8,78,29000,1,0
509,510,ABM Industries,6228.6,4.0,126.3,42000.0,4436.2,3078.7,-48,124000,1,1
510,511,Post Holdings,6226.7,9.3,166.7,20737.5,12414.7,4284.4,-37,10735,1,1
511,512,Moody's,6218.0,15.8,2214.0,24.5,14680.0,62548.1,-12,13460,1,1
512,513,Select Medical Holdings,6204.5,12.2,402.2,55.3,7360.2,3208.6,-26,43200,1,1
514,515,Big Lots,6150.6,-0.8,177.8,-71.7,3927.3,988.1,-66,23350,1,1
515,516,Amkor Technology,6138.3,21.5,643.0,90.2,6038.6,5313.0,9,30400,1,0
517,518,RPM International,6106.3,10.9,502.6,65.1,6253.0,10560.8,-29,15490,1,1
518,519,M&T Bank,6105.8,-2.8,1858.7,37.4,155107.2,21875.0,-75,17342,1,1
519,520,Sprouts Farmers Market,6099.9,-5.7,244.2,-15.1,2923.1,3546.8,-83,31000,1,1
520,521,Huntington Bancshares,6080.0,16.1,1295.0,58.5,174064.0,21123.4,-11,18442,1,1
521,522,CACI International,6044.1,5.7,457.4,42.3,6172.4,7051.2,-49,22000,1,1
523,524,SVB Financial Group,6027.0,47.7,1833.0,51.7,211478.0,32901.0,89,6567,1,0
524,525,Fastenal,6010.9,6.4,925.0,7.7,4299.0,34187.9,-46,18370,1,1
526,527,Knight-Swift Transportation Holdings,5998.0,28.3,743.4,81.3,10655.5,8386.0,24,27650,1,0
530,531,ServiceNow,5896.0,30.5,230.0,94.1,10798.0,111378.0,39,16881,1,0
531,532,Nasdaq,5886.0,4.6,1187.0,27.2,20115.0,29298.2,-52,5814,1,1
532,533,Brunswick,5846.2,34.5,593.3,59.2,5425.0,6197.3,59,18582,1,0
533,534,Resideo Technologies,5846.0,15.3,242.0,554.1,5853.0,3455.8,-11,13300,1,1
536,537,Kemper,5793.0,11.3,-120.5,-129.4,14916.5,3606.0,-23,10300,0,1
538,539,Cerner,5764.8,4.7,555.6,-28.8,7434.2,27492.2,-49,25150,1,1
541,542,NetApp,5744.0,6.1,730.0,-10.9,9360.0,18470.5,-45,11000,1,1
542,543,KB Home,5724.9,36.9,564.7,90.6,5835.9,2858.1,60,2244,1,0
544,545,Intuitive Surgical,5710.1,31.0,1704.6,60.7,13555.0,108361.9,46,9793,1,0
546,547,MDU Resources Group,5680.7,2.7,378.1,-3.1,8910.4,5419.3,-61,12826,1,1
547,548,Silgan Holdings,5677.1,15.3,359.1,16.3,7770.8,5104.3,-18,15720,1,1
550,551,Hologic,5632.3,49.1,1871.5,67.8,8919.9,19305.1,90,6705,1,0
551,552,Electronic Arts,5629.0,1.7,837.0,-72.5,13288.0,35577.4,-67,11000,1,1
552,553,Zebra Technologies,5627.0,26.5,837.0,66.1,6215.0,21959.1,28,9800,1,0
554,555,Schneider National,5608.7,23.2,405.4,91.5,3937.3,4551.6,10,17050,1,0
555,556,Sonoco Products,5590.4,6.7,-85.5,-141.2,5073.2,6099.1,-45,20500,0,1
557,558,Evergy,5586.7,13.7,879.7,42.3,28520.5,15512.7,-26,4930,1,1
559,560,Coca-Cola Consolidated,5562.7,11.1,189.6,9.9,3445.6,4657.3,-34,15050,1,1
560,561,Greif,5556.1,23.1,390.7,259.1,5815.8,3134.0,11,16000,1,0
561,562,Vulcan Materials,5552.2,14.3,670.8,14.8,13682.6,24412.7,-23,11912,1,1
562,563,Ametek,5546.5,22.2,990.1,13.5,11898.2,30787.3,3,18500,1,0
563,564,Monster Beverage,5541.4,20.5,1377.5,-2.3,7804.8,42295.8,-2,3775,1,1
564,565,Sealed Air,5533.8,12.9,506.8,0.8,6229.3,9920.7,-31,16500,1,1
567,568,Martin Marietta Materials,5493.2,16.1,702.5,-2.6,14393.0,24015.1,-22,10000,1,1
569,570,Mattel,5457.7,19.1,903.0,613.1,6393.9,7823.3,-7,36300,1,1
570,571,Microchip Technology,5438.4,3.1,349.4,-38.8,16478.8,41777.1,-66,19500,1,1
571,572,Harley-Davidson,5336.3,31.6,650.0,49978.9,11051.1,6062.9,42,5800,1,0
572,573,Telephone & Data Systems,5329.0,2.0,156.0,-31.0,13493.0,2163.4,-61,8800,1,1
574,575,First Republic Bank,5305.0,17.7,1478.0,38.9,181087.0,29113.6,-1,6295,1,1
576,577,Pool,5295.6,34.5,650.6,77.4,3230.1,16967.1,47,5650,1,0
