,rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees,profited,rank_change
754,755,TopBuild,3486.2,28.3,324.0,31.2,4258.5,5987.1,40,13006,1,0
755,756,SiteOne Landscape Supply,3475.7,28.5,238.4,96.5,2116.1,7255.5,46,5475,1,0
756,757,Texas Roadhouse,3463.9,44.4,245.3,684.8,2512.0,5787.8,103,73300,1,0
757,758,Akamai Technologies,3461.2,8.2,651.6,17.0,8138.7,19210.0,-47,8700,1,1
758,759,Acuity Brands,3461.0,4.0,306.3,23.4,3575.1,6628.9,-63,13000,1,1
759,759,Brown-Forman,3461.0,2.9,903.0,9.2,6522.0,31376.6,-70,4700,1,1
760,761,Navient,3454.0,-7.3,717.0,74.0,80605.0,2592.3,-117,5263,1,1
761,762,Coterra Energy,3449.0,135.2,1158.0,477.5,19900.0,21872.1,-,936,1,1
763,764,Floor & Decor Holdings,3433.5,41.5,283.2,45.3,3730.7,8573.8,92,9276,1,0
764,765,Public Storage,3415.8,17.2,1953.3,43.9,17380.9,68438.2,-3,5800,1,1
766,767,Crane Holdings,3408.0,16.0,435.4,140.6,4486.6,6158.9,-10,11000,1,1
767,768,Atmos Energy,3407.5,20.8,665.6,10.7,19608.7,16182.8,10,4684,1,0
768,769,Selective Insurance Group,3379.2,15.6,403.8,63.9,10461.4,5391.5,-8,2440,1,1
769,770,Take-Two Interactive Software,3372.8,9.2,588.9,45.6,6028.2,17744.1,-40,6495,1,1
771,772,Plexus,3368.9,-0.6,138.9,18.2,2461.9,2298.6,-87,19200,1,1
773,774,Franchise Group,3362.7,56.2,363.8,1351.4,3913.2,1669.6,150,11895,1,0
775,776,CrossAmerica Partners,3350.5,87.1,21.7,-79.8,1270.1,826.5,-,2218,1,1
776,777,Mr. Cooper Group,3344.0,22.4,1454.0,376.7,14204.0,3369.4,15,8200,1,0
777,778,Fortinet,3342.2,28.8,606.8,24.2,5919.1,54957.1,38,10195,1,0
778,779,Brinker International,3337.8,8.4,131.6,439.3,2274.9,1701.9,-43,59491,1,1
779,780,Albemarle,3328.0,6.4,123.7,-67.1,10974.1,25899.4,-57,6000,1,1
782,783,Evercore,3307.1,44.7,740.1,111.1,3802.7,4275.1,116,1940,1,0
783,784,Stewart Information Services,3305.8,44.5,323.2,108.7,2813.4,1635.1,114,7300,1,0
784,785,Central Garden & Pet,3303.7,22.6,151.7,25.7,3116.7,2286.5,19,6750,1,0
785,786,GMS,3298.8,1.8,105.6,351.5,2483.9,2142.1,-83,5843,1,1
786,787,H.B. Fuller,3278.0,17.5,161.4,30.5,4274.5,3505.2,-1,6500,1,1
787,788,Middleby,3250.8,29.3,488.5,135.7,6383.6,8961.1,49,10624,1,0
788,789,Renewable Energy Group,3244.1,51.8,213.8,74.1,2558.9,3056.2,139,1196,1,0
789,790,MSC Industrial Direct,3243.2,1.6,216.9,-13.6,2462.1,4758.3,-78,6472,1,1
790,791,Vishay Intertechnology,3240.5,29.5,298.0,142.4,3543.3,2840.1,49,22800,1,0
791,792,Applied Industrial Technologies,3235.9,-0.3,144.8,502.1,2271.8,3947.9,-91,5947,1,1
792,793,Lincoln Electric Holdings,3234.2,21.8,276.5,34.1,2592.3,8079.1,16,11000,1,0
793,794,First Horizon,3234.0,-4.6,999.0,18.2,89092.0,12542.9,-108,7676,1,1
795,796,AptarGroup,3227.2,10.2,244.1,14.0,4141.4,7702.9,-37,13000,1,1
796,797,Citrix Systems,3217.2,-0.6,307.5,-39.0,6975.5,12704.6,-90,9700,1,1
797,798,IDEXX Laboratories,3215.4,18.8,744.8,28.0,2437.2,46089.3,2,10350,1,0
798,799,Tetra Tech,3213.5,7.3,232.8,33.9,2576.6,8906.7,-51,21000,1,1
